OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,STRZUSTAND,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,Teilnehmer,color,symbol
64055,9,7,72,147,2016,2,18,4,3,2,6,0,0,0,1,0,0,0,0,638420.7772,5364071.5555,10.87069439,48.414583131,2,#fc8d62,car
64056,9,1,84,131,2016,2,13,4,3,2,6,0,0,0,1,0,0,1,0,704256.0086,5337802.0911,11.746833101,48.160622933,2,#fc8d62,car
64057,9,1,73,147,2016,2,23,6,3,4,2,2,0,0,1,0,0,0,0,681948.9775,5308440.1165,11.434676202,47.903464664,2,#fc8d62,car
64059,9,1,84,122,2016,2,14,5,3,4,1,0,2,0,1,0,0,0,0,687791582.0,5324037569.0,11.5195951,48.041979532,2,#fc8d62,car
64061,9,1,77,133,2016,2,13,7,3,5,3,0,1,0,1,0,0,0,0,711127.5841,5355476.5905,11.847934382,48.31719674,2,#fc8d62,car
64062,9,1,84,121,2016,2,8,4,3,8,1,0,1,0,1,0,0,0,0,706170.7558,5328229.4213,11.767923396,48.073980441,2,#fc8d62,car
64064,9,1,77,117,2016,2,6,5,3,5,3,2,1,0,1,0,0,0,1,716722.6915,5354276.7342,11.922690714,48.304523516,2,#fc8d62,car
64070,9,1,77,135,2016,2,18,3,3,4,6,0,1,0,1,0,0,0,0,719016.4891,5344506.6466,11.948525215,48.215951086,2,#fc8d62,car
64075,9,1,84,132,2016,2,11,5,3,1,5,0,0,0,1,0,0,0,0,683480.9218,5329659.1465,11.464227578,48.093763881,2,#fc8d62,car
64078,9,1,73,118,2016,2,9,5,3,8,1,0,2,0,0,0,0,0,1,689720557.0,5305711983.0,11.537366163,47.876691743,6,#ffd92f,circle
64079,9,2,74,194,2016,2,8,6,3,8,1,0,0,0,1,0,0,0,0,722734105.0,5381262.1981,12.01797753,48.544875718,2,#fc8d62,car
64080,9,7,62,0,2016,2,5,5,3,0,1,2,2,1,0,0,0,0,0,622588912.0,5306547.2839,10.640254028,47.900534449,1,#66c2a5,bicycle
64081,9,7,72,223,2016,2,12,6,3,2,6,0,0,0,0,0,0,1,1,615172.7214,5362158.2817,10.556115011,48.402055076,5,#a6d854,bus
64083,9,1,62,0,2016,2,8,3,3,5,3,0,0,0,1,0,0,0,0,688563.2831,5334979.1665,11.534770109,48.140097863,2,#fc8d62,car
64090,9,1,62,0,2016,2,19,7,3,2,6,2,0,0,1,0,0,0,0,688908388.0,5340118003.0,11.541686765,48.186183751,2,#fc8d62,car
64091,9,7,71,122,2016,2,9,2,2,8,6,0,0,0,1,0,0,1,0,655393.6843,5359877.3727,11.09837237,48.372918638,2,#fc8d62,car
64092,9,1,62,0,2016,2,7,5,3,5,3,0,0,0,1,0,0,0,0,681937.8271,5335413.2249,11.445978304,48.14592852,2,#fc8d62,car
64093,9,1,62,0,2016,2,13,5,3,1,6,0,0,0,1,0,0,0,0,692981669.0,5331302049.0,11.592437445,48.105724112,2,#fc8d62,car
64097,9,1,81,122,2016,2,2,1,3,7,7,2,0,0,1,0,0,0,0,647271.5567,5334334.6233,10.979873288,48.145201914,2,#fc8d62,car
64098,9,1,62,0,2016,2,12,2,3,2,6,0,0,0,1,0,0,0,1,693937692.0,5331667827.0,11.605432803,48.108721302,2,#fc8d62,car
64103,9,1,63,0,2016,2,7,5,3,0,1,0,1,0,0,0,1,0,0,734721.7319,5303725112.0,12.137299971,47.843975082,4,#e78ac3,marker
64108,9,1,75,132,2016,2,12,6,3,0,3,0,0,0,1,0,0,0,0,707797.2662,5333560.4553,11.792328145,48.121359122,2,#fc8d62,car
64117,9,1,81,130,2016,2,8,5,3,8,1,0,2,0,1,0,0,0,0,638684.5774,5319396.8687,10.859648858,48.012807254,2,#fc8d62,car
64122,9,1,86,128,2016,2,18,7,3,4,6,2,1,0,1,0,0,0,0,677277.4961,5384557.9046,11.404096093,48.588993462,2,#fc8d62,car
64125,9,1,84,132,2016,2,22,6,3,9,6,2,0,0,1,0,0,0,0,683601.2943,5325535.6063,11.464071231,48.056663813,2,#fc8d62,car
64127,9,2,61,0,2016,2,20,2,2,6,4,2,0,0,1,1,0,0,0,731217.2945,5382023697.0,12.133168994,48.548647582,2,#fc8d62,car
64133,9,1,78,155,2016,2,6,2,3,2,6,1,0,0,1,0,0,0,0,721121.7448,5374102.7784,11.992368391,48.48112521,2,#fc8d62,car
64135,9,1,88,120,2016,2,10,7,3,5,3,0,1,0,1,0,0,0,0,677216.4098,5326528.3001,11.378870397,48.067392607,2,#fc8d62,car
64136,9,1,62,0,2016,2,12,4,3,4,2,0,0,0,1,0,0,0,0,685721.6406,5335287.9167,11.496743769,48.143708815,2,#fc8d62,car
64137,9,1,84,148,2016,2,17,4,3,2,6,1,0,0,1,0,0,0,0,693475.2168,5328223.8185,11.597665781,48.077907955,2,#fc8d62,car
64138,9,1,77,116,2016,2,8,5,3,2,6,0,1,0,1,0,0,0,0,709184.2908,5363756.2272,11.82586867,48.392240764,2,#fc8d62,car
64146,9,1,78,120,2016,2,16,3,3,5,3,0,1,0,1,0,0,0,0,692726229.0,5355560141.0,11.600031972,48.323823819,2,#fc8d62,car
64152,9,1,88,139,2016,2,10,3,3,2,6,0,0,0,1,0,0,0,0,676258.3182,5318850.8532,11.362861705,47.998641924,2,#fc8d62,car
64161,9,1,62,0,2016,2,10,6,3,2,6,0,0,0,1,0,0,0,1,688356.9324,5334064.9654,11.531594802,48.131941977,2,#fc8d62,car
64162,9,1,62,0,2016,2,14,4,3,2,6,0,0,0,1,0,0,0,0,691502.4584,5331944568.0,11.572875604,48.111945403,2,#fc8d62,car
64164,9,1,77,115,2016,2,9,5,3,4,6,0,1,0,1,0,0,1,0,736598.1427,5353081.6036,12.189645154,48.286668993,2,#fc8d62,car
64169,9,7,61,0,2016,2,18,6,3,2,6,2,1,0,1,0,0,0,0,643240.1147,5360575.2433,10.93459479,48.382069263,2,#fc8d62,car
64172,9,1,84,114,2016,2,7,2,3,4,6,1,0,0,1,0,0,0,0,703306066.0,5318111.0703,11.724708325,47.983967055,2,#fc8d62,car
64180,9,1,73,130,2016,2,5,6,3,9,6,2,1,0,1,0,0,0,0,680080.8132,5314242.4686,11.412126786,47.956150988,2,#fc8d62,car
64181,9,7,77,121,2016,2,8,5,3,9,1,0,2,0,1,0,0,0,0,630405.7436,5321545.8772,10.74934559,48.033876296,2,#fc8d62,car
64182,9,7,72,223,2016,2,13,6,3,1,6,0,0,0,1,0,0,0,0,618240.1368,5362340.2295,10.597594007,48.403123468,2,#fc8d62,car
64191,9,7,61,0,2016,2,7,4,3,2,6,0,1,0,1,0,0,0,0,642131.4795,5362750.8284,10.920366602,48.401881811,2,#fc8d62,car
