OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,Teilnehmer,color,symbol
190267,"9,21E+18",9,7,61,0,2021,1,15,3,3,1,1,0,0,1,0,0,0,1,641132811,5356583143,10.904810722,48.346648718,1,2,#fc8d62,car
190268,"9,21E+18",9,7,71,130,2021,2,5,6,3,0,1,2,0,1,0,0,0,0,647711.977987,5356716.20895,10.993599037,48.346340898,0,2,#fc8d62,car
190270,"9,21E+18",9,1,73,112,2021,1,14,3,3,5,3,0,1,1,0,0,0,0,691949.980176,5293092.9651,11.56156301,47.762603825,0,1,#66c2a5,bicycle
190271,"9,21E+18",9,1,62,0,2021,1,15,7,3,1,1,0,1,1,0,0,0,0,693322.539001,5337314587,11.599739834,48.159659748,1,1,#66c2a5,bicycle
190276,"9,21E+18",9,1,62,0,2021,1,8,5,3,5,3,0,1,0,0,0,1,0,691431.42759,5335343.14525,11.573448846,48.142512851,2,1,#66c2a5,bicycle
190278,"9,21E+18",9,7,61,0,2021,2,17,5,2,5,3,2,1,1,0,0,0,0,639148.717362,5359224.1152,10.87892067,48.370835971,0,1,#66c2a5,bicycle
190279,"9,21E+18",9,7,72,125,2021,1,10,3,3,2,6,0,0,1,0,0,0,1,637015.731131,5347073.08143,10.846187116,48.262040527,2,2,#fc8d62,car
190284,"9,21E+18",9,1,62,0,2021,2,11,7,3,4,6,0,1,1,0,0,0,0,685125.856365,5328262.13817,11.485692771,48.080731082,0,1,#66c2a5,bicycle
190289,"9,21E+18",9,1,73,120,2021,1,14,5,3,5,3,0,0,1,0,0,0,0,690778.544988,5311189.80346,11.553923602,47.925615161,1,2,#fc8d62,car
190290,"9,21E+18",9,1,85,158,2021,1,14,4,3,5,3,0,1,1,0,0,0,0,667630.360587,5380286.90593,11.271658366,48.553256786,0,1,#66c2a5,bicycle
190292,"9,21E+18",9,1,62,0,2021,1,7,4,3,0,1,2,1,0,0,0,0,0,689643.893197,5333257.07304,11.548514881,48.124298423,2,1,#66c2a5,bicycle
190293,"9,21E+18",9,7,61,0,2021,2,17,6,3,5,3,1,0,1,0,0,0,0,636885.466195,5360844.63637,10.848904496,48.385902496,0,2,#fc8d62,car
190294,"9,21E+18",9,7,78,216,2021,1,20,3,3,9,1,2,0,1,0,0,0,0,623764.828272,5322465.6274,10.660565789,48.043469628,2,2,#fc8d62,car
190296,"9,21E+18",9,1,84,120,2021,1,21,7,3,5,3,2,0,1,0,0,0,0,680300.130477,5332853.03992,11.422897994,48.123381502,1,2,#fc8d62,car
190300,"9,21E+18",9,1,62,0,2021,1,7,5,3,5,3,2,0,1,0,0,0,0,697696.141649,5330420.36106,11.655291674,48.096354556,1,2,#fc8d62,car
190301,"9,21E+18",9,1,78,144,2021,1,6,4,3,9,1,2,0,1,0,0,0,0,705202.291144,5379762.64611,11.77999224,48.537380634,1,2,#fc8d62,car
190302,"9,21E+18",9,1,62,0,2021,2,19,5,2,4,2,2,0,1,0,1,0,0,690569.970123,5337076.23368,11.562656091,48.158348362,0,2,#fc8d62,car
190304,"9,21E+18",9,1,62,0,2021,1,10,2,3,5,2,0,1,1,0,0,0,0,694488.115641,5334211.37768,11.613979717,48.131413975,0,1,#66c2a5,bicycle
190305,"9,21E+18",9,1,73,147,2021,1,14,1,3,0,7,0,1,0,0,0,0,0,681850.607975,5308785.0188,11.433506544,47.906592955,1,1,#66c2a5,bicycle
190308,"9,21E+18",9,2,61,0,2021,1,17,2,3,5,3,2,0,1,0,0,0,0,731328.559928,5383302.64065,12.135384868,48.560095105,0,2,#fc8d62,car
190309,"9,21E+18",9,1,75,137,2021,1,10,7,3,6,1,0,0,1,1,0,0,0,725982.810002,5332120.58799,12.035596808,48.102229331,2,2,#fc8d62,car
190313,"9,21E+18",9,1,62,0,2021,2,12,4,3,2,6,0,0,1,0,0,0,0,688562.543474,5332400.22701,11.533619051,48.116918124,1,2,#fc8d62,car
190315,"9,21E+18",9,1,62,0,2021,1,13,6,3,2,6,0,0,1,0,0,0,1,689528.458001,5333149257,11.546917266,48.123363738,1,2,#fc8d62,car
190318,"9,21E+18",9,2,74,126,2021,1,2,4,3,0,7,2,1,0,0,0,0,0,733169.755754,5382956.03699,12.16010658,48.556299842,1,1,#66c2a5,bicycle
190329,"9,21E+18",9,1,86,143,2021,1,11,3,3,6,6,0,0,1,1,0,0,0,683700.469498,5377188.20477,11.487863379,48.520905287,0,2,#fc8d62,car
190332,"9,21E+18",9,7,61,0,2021,1,13,4,2,0,7,0,1,0,0,0,0,0,639222.908775,5360545.80482,10.880359655,48.382703905,0,1,#66c2a5,bicycle
190334,"9,21E+18",9,1,62,0,2021,2,9,7,3,5,3,0,0,1,0,0,0,0,690806.607727,5336510.88209,11.565581418,48.153196071,0,2,#fc8d62,car
190338,"9,21E+18",9,1,88,139,2021,1,11,6,2,6,6,0,0,1,1,0,0,0,676314.176295,5318886.53096,11.363624518,47.99894725,0,2,#fc8d62,car
190339,"9,21E+18",9,7,61,0,2021,1,6,6,3,9,1,2,0,1,0,0,0,0,638975.476355,5360954.18777,10.877154747,48.38643054,1,2,#fc8d62,car
190342,"9,21E+18",9,7,61,0,2021,1,20,4,3,5,2,2,0,1,0,0,0,0,641126.416436,5351853.11022,10.903140926,48.304119101,1,2,#fc8d62,car
190343,"9,21E+18",9,1,62,0,2021,2,17,6,3,6,4,2,0,1,1,0,0,0,681629.013335,5335767.76175,11.441981782,48.149203617,0,2,#fc8d62,car
190352,"9,21E+18",9,1,62,0,2021,2,9,5,2,0,7,0,1,0,1,0,0,0,692780.824559,5338336.3107,11.592925882,48.169007167,0,1,#66c2a5,bicycle
190359,"9,21E+18",9,1,63,0,2021,1,19,1,3,8,1,2,0,1,0,0,0,0,732017.361815,5306099.79216,12.102481977,47.86629126,2,2,#fc8d62,car
190361,"9,21E+18",9,1,87,122,2021,1,10,3,3,4,2,0,0,1,0,0,0,0,720579.955002,5306358.75399,11.94989083,47.872646985,0,2,#fc8d62,car
190362,"9,21E+18",9,7,71,130,2021,2,11,4,3,1,2,0,0,1,0,0,0,0,644965.244596,5358362.70268,10.95711746,48.361781495,1,2,#fc8d62,car
190368,"9,21E+18",9,7,78,116,2021,1,14,7,3,4,6,0,1,1,0,0,0,0,618680.76526,5319611.98482,10.591589579,48.01877044,0,1,#66c2a5,bicycle
190369,"9,21E+18",9,1,62,0,2021,2,14,7,3,6,4,0,0,1,1,0,0,0,689469.388581,5333605.80062,11.546327241,48.127484777,0,2,#fc8d62,car
190370,"9,21E+18",9,1,62,0,2021,1,9,5,3,0,7,0,1,0,0,0,0,0,690842.476451,5334778.2367,11.565286569,48.137612417,1,1,#66c2a5,bicycle
190376,"9,21E+18",9,1,63,0,2021,1,17,5,3,5,3,2,0,1,0,0,0,0,732785.453909,5303022.53671,12.111081433,47.838366953,2,2,#fc8d62,car
190377,"9,21E+18",9,1,62,0,2021,1,10,1,3,5,3,0,0,1,0,0,0,0,701169.467001,5331648251,11.702467948,48.106302697,1,2,#fc8d62,car
190381,"9,21E+18",9,7,72,200,2021,1,19,1,3,8,1,2,1,0,0,0,0,0,629612.348672,5337228.31331,10.743471866,48.175067838,2,1,#66c2a5,bicycle
190383,"9,21E+18",9,7,72,125,2021,1,14,6,3,5,3,0,0,1,0,0,0,0,637158.271283,5348309.04391,10.848507585,48.273123555,1,2,#fc8d62,car
190385,"9,21E+18",9,1,62,0,2021,1,15,2,3,5,3,0,1,1,0,0,0,1,691204.2408,5335820.91899,11.570612475,48.146875346,0,1,#66c2a5,bicycle
190387,"9,21E+18",9,1,62,0,2021,1,1,1,3,9,1,2,0,1,0,0,0,0,683153.770369,5336674.62656,11.462852693,48.156917878,2,2,#fc8d62,car
190388,"9,21E+18",9,1,62,0,2021,1,20,5,3,1,2,2,1,1,0,0,0,0,689844.220716,5337383.65296,11.553043959,48.16132853,1,1,#66c2a5,bicycle
190390,"9,21E+18",9,1,78,124,2021,1,13,4,3,6,6,0,1,0,1,0,0,0,702281.391005,5364384.41445,11.73303224,48.400137454,0,1,#66c2a5,bicycle
190392,"9,21E+18",9,1,84,139,2021,1,6,4,2,5,3,2,1,1,0,0,0,0,687259.504521,5325418.43832,11.513067494,48.054547681,2,1,#66c2a5,bicycle
190395,"9,21E+18",9,1,62,0,2021,1,20,7,3,3,6,2,1,0,0,0,0,0,689394.586253,5333034.39011,11.54506908,48.12237114,1,1,#66c2a5,bicycle
190400,"9,21E+18",9,7,61,0,2021,1,17,5,3,0,1,1,1,1,0,0,0,0,639592.099205,5358148.79761,10.884547401,48.361069083,1,1,#66c2a5,bicycle
190401,"9,21E+18",9,1,84,119,2021,1,17,3,3,5,2,2,0,1,0,0,0,0,696630.687006,5349046.47644,11.649615617,48.264082742,1,2,#fc8d62,car
190406,"9,21E+18",9,1,90,140,2021,1,12,4,3,5,3,0,0,1,0,0,0,0,644108.543221,5295877.08877,10.924479034,47.80011182,1,2,#fc8d62,car
190408,"9,21E+18",9,1,75,132,2021,1,8,2,3,0,7,0,1,0,0,0,0,0,707520.412593,5331732.55553,11.787723098,48.105023274,0,1,#66c2a5,bicycle
190409,"9,21E+18",9,1,62,0,2021,1,12,7,3,5,3,0,0,1,0,0,0,0,691916.721386,5338106.24947,11.581212022,48.167200903,1,2,#fc8d62,car
190412,"9,21E+18",9,1,74,115,2021,2,15,5,3,4,6,0,1,0,0,0,0,0,682283.587457,5347731.04325,11.455912213,48.256549653,0,1,#66c2a5,bicycle
190413,"9,21E+18",9,7,72,163,2021,1,18,2,3,2,6,2,0,1,0,0,0,0,640775.576592,5350543.14285,10.897975606,48.292418343,2,2,#fc8d62,car
190415,"9,21E+18",9,1,84,122,2021,1,16,7,3,2,6,1,0,1,0,0,0,0,688935.127279,5323695.13312,11.534771416,48.038564246,0,2,#fc8d62,car
190416,"9,21E+18",9,1,62,0,2021,1,16,3,3,0,7,1,1,0,0,0,0,0,691541.291277,5337030.79201,11.575683646,48.157648106,1,1,#66c2a5,bicycle
190418,"9,21E+18",9,1,62,0,2021,1,14,7,3,6,4,0,1,0,1,0,0,0,692173.387291,5334415.62236,11.582994171,48.133952778,1,1,#66c2a5,bicycle
190419,"9,21E+18",9,7,72,147,2021,2,15,7,3,0,7,0,1,0,0,0,0,0,638206.073679,5365770.74335,10.868354426,48.429908905,1,1,#66c2a5,bicycle
190420,"9,21E+18",9,1,62,0,2021,1,10,5,3,1,5,0,0,1,0,0,0,0,684400.694455,5331419.09562,11.477329025,48.109317916,2,2,#fc8d62,car
190423,"9,21E+18",9,1,62,0,2021,1,9,5,2,0,7,0,1,0,0,0,0,0,695421.87389,5338945.58957,11.628689841,48.173676587,2,1,#66c2a5,bicycle
190428,"9,21E+18",9,1,78,143,2021,1,3,5,3,8,1,2,0,1,0,0,0,0,717207.316151,5372235.00661,11.938498898,48.465708359,2,2,#fc8d62,car
190429,"9,21E+18",9,2,74,126,2021,2,15,6,3,0,1,0,1,0,0,0,0,0,733239.660095,5383574.32774,12.161398883,48.56182771,1,1,#66c2a5,bicycle
190431,"9,21E+18",9,1,62,0,2021,1,16,7,3,5,3,1,0,1,0,0,0,0,685731.435491,5333796.44294,11.496224973,48.130299962,1,2,#fc8d62,car
190432,"9,21E+18",9,7,61,0,2021,1,14,5,3,6,7,0,1,0,1,0,0,0,641199.923695,5358834.80317,10.9064715,48.366879841,1,1,#66c2a5,bicycle
190448,"9,21E+18",9,2,61,0,2021,2,5,5,3,6,6,2,0,0,1,1,0,0,734954.381818,5383209.82347,12.184397728,48.557913481,1,3,#8da0cb,toilet
190449,"9,21E+18",9,1,79,138,2021,1,18,3,3,5,3,2,0,1,0,0,0,1,655121.130437,5335599.13203,11.085790707,48.154705416,2,2,#fc8d62,car
190452,"9,21E+18",9,1,62,0,2021,1,8,4,3,0,7,0,1,1,0,0,0,0,688245.365292,5332649.89696,11.529471824,48.119256053,2,1,#66c2a5,bicycle
190454,"9,21E+18",9,7,61,0,2021,1,12,2,3,0,6,0,0,0,0,1,0,0,640117.496374,5357304.33244,10.891355273,48.353359503,0,4,#e78ac3,marker
190455,"9,21E+18",9,1,62,0,2021,2,15,1,3,6,6,0,1,0,1,0,0,0,691002.784125,5341868.67146,11.570624206,48.2012922,1,1,#66c2a5,bicycle
190458,"9,21E+18",9,1,62,0,2021,2,12,4,2,6,2,0,0,1,1,0,0,0,699494.120001,5334812295,11.68146786,48.135265228,1,2,#fc8d62,car
