OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,Teilnehmer,color,symbol
54329,9,1,84,147,2019,2,7,6,3,5,3,0,0,1,0,0,1,0,700641.40952,5341126.10855,11.699849509,48.19164644,1,2,#fc8d62,car
54330,9,1,87,124,2019,2,8,5,3,4,1,0,0,1,0,0,0,0,735991.565707,5327598.28018,12.167337189,48.05797631,2,2,#fc8d62,car
54331,9,2,61,0,2019,2,10,1,3,4,1,0,0,1,0,0,0,0,731336979,5384756585,12.136307087,48.573152502,2,2,#fc8d62,car
54332,9,1,75,111,2019,2,15,6,3,9,6,0,0,1,0,0,1,0,713108.860226,5338352.61239,11.866010646,48.162664569,0,2,#fc8d62,car
54335,9,1,78,120,2019,2,15,6,3,2,6,2,0,1,0,0,0,0,694840.565015,5353603.17644,11.627621193,48.305588109,0,2,#fc8d62,car
54337,9,2,74,113,2019,2,18,1,3,4,2,2,0,1,0,0,0,0,728394.308889,5383929.86441,12.096019654,48.566805077,1,2,#fc8d62,car
54338,9,1,84,135,2019,2,11,6,3,3,6,0,0,1,0,0,1,0,688041.741218,5347950.40247,11.533511899,48.256838831,0,2,#fc8d62,car
54340,9,1,62,0,2019,2,15,6,3,2,6,0,0,1,0,0,0,0,695149.610231,5343735.43187,11.627232909,48.216808562,0,2,#fc8d62,car
54342,9,1,62,0,2019,2,17,6,3,2,6,1,0,1,0,0,0,0,695107.113784,5343593.00666,11.626595899,48.215541599,0,2,#fc8d62,car
54344,9,1,75,127,2019,2,17,6,3,1,3,2,0,1,0,0,0,0,713000.192447,5341501.8377,11.866129198,48.190998804,1,2,#fc8d62,car
54346,9,1,75,132,2019,2,6,6,3,5,3,1,0,1,0,0,1,0,707289554,5336510.7,11.786949477,48.148036466,1,2,#fc8d62,car
54348,9,1,78,143,2019,2,17,6,3,5,3,1,0,1,0,0,0,0,721352944,5369961183,11.99330209,48.44383511,1,2,#fc8d62,car
54351,9,1,78,124,2019,2,11,6,3,2,6,0,0,1,0,0,0,0,702841.475104,5363990.40991,11.740400254,48.39641691,0,2,#fc8d62,car
54353,9,1,84,136,2019,2,8,5,3,2,6,0,0,1,0,0,0,0,697842.120403,5326783.16716,11.655566079,48.063620409,0,2,#fc8d62,car
54354,9,1,81,135,2019,2,8,5,3,8,1,0,0,1,0,0,0,0,642618.807496,5309047.31803,10.908940215,47.918875787,2,2,#fc8d62,car
54355,9,1,79,118,2019,2,9,1,3,5,3,0,0,1,0,0,0,1,672826.985813,5337365.81185,11.32439224,48.166021935,2,2,#fc8d62,car
54356,9,1,84,147,2019,2,19,5,3,6,2,2,0,1,1,0,0,0,696027.001425,5340693.18062,11.63762688,48.189196467,1,2,#fc8d62,car
54358,9,1,62,0,2019,2,19,5,3,6,2,2,0,1,1,0,0,0,698199.616635,5329800.64923,11.661758713,48.090628624,1,2,#fc8d62,car
54361,9,1,62,0,2019,2,15,5,3,2,6,0,0,1,0,0,0,0,690573.083888,5331999.31955,11.560426685,48.112716266,1,2,#fc8d62,car
