fid,OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,Teilnehmer,color,symbol
12160,174041,"9,20101500858246E+018",9,1,62,0,2020,10,17,5,3,5,2,1,0,1,0,1,0,0,690348611,5334740397,11.558638041,48.137420233,0,2,#fc8d62,car
12161,174044,"9,20101700121544E+018",9,1,81,130,2020,10,13,7,3,0,1,0,1,0,0,0,0,0,639074.6568,5324885.1764,10.866659133,48.062075276,0,1,#66c2a5,bicycle
12162,174046,"9,20101900858244E+018",9,1,62,0,2020,10,18,2,3,0,7,2,1,0,0,0,0,0,694346.9573,5334231.3432,11.612093658,48.131636534,0,1,#66c2a5,bicycle
12163,174047,"9,20101500858245E+018",9,1,84,136,2020,10,17,5,3,2,2,0,1,1,0,0,0,0,699397.2438,5326686.7239,11.676371487,48.062269529,0,1,#66c2a5,bicycle
12164,174048,"9,20101900141344E+018",9,1,63,0,2020,10,14,2,3,0,7,0,1,0,0,0,0,0,735347.0333,5304206.7539,12.145906666,47.848073519,0,1,#66c2a5,bicycle
12165,174050,"9,20102000858244E+018",9,1,62,0,2020,10,8,3,3,3,2,0,1,0,0,0,0,1,693249.2579,5333328.04,11.59694634,48.123852113,0,1,#66c2a5,bicycle
12166,174052,"9,20101500858245E+018",9,1,62,0,2020,10,19,5,3,5,2,2,0,1,0,1,0,0,690320.9415,5335376481,11.558550755,48.143145624,1,2,#fc8d62,car
12167,174055,"9,20101500858245E+018",9,1,62,0,2020,10,7,5,3,5,3,0,0,1,0,0,0,1,693480.3966,5333555.8648,11.600152556,48.125829538,0,2,#fc8d62,car
12168,174056,"9,20101700710445E+018",9,7,61,0,2020,10,11,7,2,8,7,0,0,1,0,0,0,0,640976.2458,5359284.8535,10.903604019,48.370976527,0,2,#fc8d62,car
12169,174057,"9,20102000710645E+018",9,7,61,0,2020,10,16,3,2,1,1,0,0,1,0,1,0,0,638755.6101,5355155.3834,10.872274244,48.334337219,0,2,#fc8d62,car
12170,174058,"9,20102000120144E+018",9,1,74,115,2020,10,18,3,3,5,3,2,1,1,0,0,0,0,680283.9139,5347996.8179,11.429109074,48.259510673,0,1,#66c2a5,bicycle
12171,174059,"9,20101900851546E+018",9,1,62,0,2020,10,15,2,3,0,7,0,1,0,0,0,0,0,687244.9487,5331878.2098,11.515703762,48.112614851,0,1,#66c2a5,bicycle
12172,174060,"9,20101500858245E+018",9,1,62,0,2020,10,7,5,3,6,4,0,1,0,1,0,0,0,683773.7457,5332599.0284,11.469422874,48.120105101,0,1,#66c2a5,bicycle
12173,174061,"9,20101900111346E+018",9,1,75,127,2020,10,21,2,3,1,1,2,0,1,0,0,0,0,713282.2328,5341588.9277,11.869963126,48.191686723,0,2,#fc8d62,car
12174,174063,"9,20102000857145E+018",9,1,84,142,2020,10,18,3,2,4,6,1,1,1,0,0,0,0,682491.0139,5316536.9251,11.445354382,47.976093647,0,1,#66c2a5,bicycle
12175,174065,"9,20101700111346E+018",9,1,75,135,2020,10,16,7,3,0,7,0,1,0,0,0,0,0,708717.8383,5339161.7811,11.807429088,48.171392423,0,1,#66c2a5,bicycle
12176,174067,"9,20101700110544E+018",9,1,77,117,2020,10,17,7,3,0,7,0,1,0,0,0,0,0,715142.5197,5354480.2108,11.901512958,48.306891073,0,1,#66c2a5,bicycle
12177,174068,"9,20101900711345E+018",9,7,61,0,2020,10,5,2,3,2,6,2,0,1,0,1,0,0,636413.4255,5360449806,10.842403922,48.382454473,1,2,#fc8d62,car
12178,174070,"9,20101500858245E+018",9,1,62,0,2020,10,15,5,3,2,6,0,0,1,0,0,0,0,686253926,5331369222,11.502179972,48.108330438,1,2,#fc8d62,car
12179,174071,"9,20101800858245E+018",9,1,62,0,2020,10,17,1,3,0,6,1,1,1,0,0,0,0,690344676,5334843.5253,11.558631288,48.138348326,0,1,#66c2a5,bicycle
