OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstig,ULICHTVERH,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,Teilnehmer,color,symbol
170782,"9,17E+18",9,1,77,143,2017,3,16,1,3,0,1,1,0,0,0,0,0,0,720208.3866,5365082497.0,11.975284832,48.400404521,1,#66c2a5,bicycle
170783,"9,17E+18",9,1,62,0,2017,3,20,7,3,0,7,1,0,0,0,0,2,0,692325.8513,5333557.9117,11.584654149,48.126197777,1,#66c2a5,bicycle
170784,"9,17E+18",9,1,62,0,2017,3,14,7,3,0,1,1,0,0,0,0,0,0,690969.2985,5335152.9233,11.567157529,48.140942027,1,#66c2a5,bicycle
170785,"9,17E+18",9,1,62,0,2017,3,11,7,3,6,4,1,0,1,0,0,0,0,689471.2132,5334911.4863,11.546932411,48.139219841,1,#66c2a5,bicycle
170786,"9,17E+18",9,1,84,136,2017,3,10,7,2,0,7,0,1,1,0,0,0,0,698055.3859,5327474.0476,11.658745477,48.069763451,2,#fc8d62,car
170787,"9,17E+18",9,1,62,0,2017,3,10,7,3,6,7,0,1,1,0,0,0,0,701507.7783,5334615.5397,11.708409851,48.132862627,2,#fc8d62,car
170788,"9,17E+18",9,1,84,122,2017,3,13,7,3,5,3,1,1,0,0,0,0,0,687954.6706,5323377.0275,11.521491143,48.03599433,1,#66c2a5,bicycle
170789,"9,17E+18",9,1,84,149,2017,3,15,7,3,9,1,0,0,0,1,0,0,0,687953.5901,5349371949.0,11.53295703,48.269641805,4,#e78ac3,marker
170790,"9,17E+18",9,1,62,0,2017,3,15,7,3,3,7,0,1,0,1,0,0,0,691781.0277,5335526.3741,11.578226179,48.144054401,2,#fc8d62,car
170791,"9,17E+18",9,1,62,0,2017,3,12,7,3,5,3,0,1,0,1,0,0,0,690846503.0,5339290.8895,11.567364799,48.178170497,2,#fc8d62,car
170792,"9,17E+18",9,1,62,0,2017,3,8,7,3,8,6,0,1,0,0,0,0,0,686741588.0,5338540636.0,11.51186945,48.172646634,2,#fc8d62,car
170793,"9,17E+18",9,1,62,0,2017,3,21,7,3,3,6,0,0,0,1,0,2,0,694547.5591,5342669.8785,11.618647839,48.207416814,4,#e78ac3,marker
170794,"9,17E+18",9,1,62,0,2017,3,15,7,3,0,3,0,1,0,0,1,0,0,691277438.0,5331884.5609,11.569828653,48.111473679,2,#fc8d62,car
170795,"9,17E+18",9,1,62,0,2017,3,12,7,3,5,7,1,1,0,0,0,0,0,691701.7612,5333712.3484,11.576345318,48.127774074,1,#66c2a5,bicycle
