ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,Teilnehmer,color,symbol
9,1,78,113,2018,1,13,7,3,2,6,0,0,1,0,0,0,0,0,691628.6053,5365410.9438,11.589727839,48.412690795,2,#fc8d62,car
9,1,84,119,2018,1,14,7,3,2,6,0,0,1,0,0,0,0,0,696426.2134,5348115177.0,11.64643103,48.255776423,2,#fc8d62,car
9,1,78,144,2018,1,3,4,3,8,7,2,0,1,0,0,0,0,1,708607.5941,5381690.4643,11.827033185,48.553580113,2,#fc8d62,car
9,1,78,115,2018,1,5,7,3,9,1,2,0,1,0,0,0,0,1,704095.8176,5374849.3525,11.762617147,48.493591102,2,#fc8d62,car
9,1,78,124,2018,1,16,7,3,8,1,0,0,1,0,0,0,0,0,704930682.0,5362659258.0,11.767942167,48.383779685,2,#fc8d62,car
9,1,62,0,2018,1,18,6,3,6,2,2,0,1,1,0,0,0,1,687694.5284,5327412.4427,11.519774916,48.072342757,2,#fc8d62,car
9,1,62,0,2018,1,16,2,3,9,7,0,0,1,0,0,0,0,0,688865.1549,5339970.0943,11.541039919,48.184867197,2,#fc8d62,car
9,1,84,130,2018,1,17,6,3,4,2,2,0,1,0,0,0,0,1,698816.2184,5345701652.0,11.677461913,48.233340899,2,#fc8d62,car
9,1,84,131,2018,1,14,6,3,5,3,0,0,1,0,0,0,0,1,705336.6902,5340055.2243,11.762436707,48.180522558,2,#fc8d62,car
9,1,84,121,2018,1,17,6,2,6,4,2,0,1,1,0,0,0,1,705365.5696,5330991.1211,11.758454238,48.099058552,2,#fc8d62,car
9,7,61,0,2018,1,7,3,3,2,6,1,0,1,0,0,0,0,1,639422.8326,5351492.8974,10.880061421,48.301257888,2,#fc8d62,car
9,7,78,137,2018,1,20,6,2,5,3,2,0,1,0,0,0,0,1,622917.1146,5327857.9305,10.650747291,48.092128268,2,#fc8d62,car
9,7,72,163,2018,1,19,6,3,4,2,2,1,1,0,0,0,0,1,639587.0465,5346137.1892,10.88050575,48.253063711,1,#66c2a5,bicycle
9,1,63,0,2018,1,6,4,3,5,3,2,1,0,0,0,0,0,0,733753.7956,5303286.9235,12.124145812,47.840390988,1,#66c2a5,bicycle
9,1,79,142,2018,1,6,4,3,2,6,2,0,1,0,0,0,0,0,676926.9,5342795.0031,11.381745839,48.213697709,2,#fc8d62,car
9,1,90,157,2018,1,7,2,3,2,6,1,0,1,0,0,0,0,0,660394526.0,5300343.2128,11.143471853,47.836416443,2,#fc8d62,car
9,7,78,169,2018,1,19,3,3,5,3,2,0,1,0,0,0,0,0,617847.5241,5333011.6407,10.584115926,48.139436198,2,#fc8d62,car
9,1,77,118,2018,1,11,3,3,9,1,0,0,1,0,0,0,0,0,710324.7886,5343984.8125,11.831405214,48.214202001,2,#fc8d62,car
9,7,72,200,2018,1,9,3,3,5,2,0,0,1,0,0,0,0,1,629162485.0,5336772.6238,10.737284974,48.171061528,2,#fc8d62,car
9,7,62,0,2018,1,10,2,3,3,6,0,0,1,0,0,0,0,0,622706.8006,5304710.5859,10.641308522,47.883993275,2,#fc8d62,car
9,2,61,0,2018,1,19,3,3,2,6,2,0,1,0,0,0,0,0,738980.7707,5385624.5729,12.240265119,48.578081284,2,#fc8d62,car
9,2,74,126,2018,1,12,6,3,8,6,0,0,1,0,0,0,0,0,731981.4704,5385274288.0,12.145319699,48.577564699,2,#fc8d62,car
9,2,74,183,2018,1,8,6,3,4,1,0,0,1,0,0,0,0,1,741127.4158,5363082.4958,12.256324643,48.374789857,2,#fc8d62,car
9,7,72,125,2018,1,16,2,3,2,6,0,0,1,0,0,0,0,0,636584.5873,5348956.8223,10.840989418,48.27907244,2,#fc8d62,car
9,1,87,117,2018,1,8,4,3,5,3,0,0,1,0,0,0,0,0,725872.9578,5308030.8203,12.021449587,47.88583087,2,#fc8d62,car
9,1,87,182,2018,1,13,2,3,2,2,0,0,1,0,0,0,1,0,740577.2035,5327742.4762,12.228863638,48.057559591,2,#fc8d62,car
9,1,73,126,2018,1,20,6,3,2,2,2,0,1,0,0,0,0,0,685626.5542,5303802.3599,11.481845601,47.860722761,2,#fc8d62,car
9,1,73,118,2018,1,12,6,3,2,2,0,0,1,0,0,0,0,0,688182.1018,5303407.5658,11.515807902,47.856430685,2,#fc8d62,car
9,1,63,0,2018,1,18,6,2,6,2,2,0,1,1,0,0,0,1,732863.4842,5305503.3074,12.113457657,47.860626273,2,#fc8d62,car
9,1,79,121,2018,1,11,3,3,5,3,0,1,1,0,0,0,0,0,665289913.0,5338616102.0,11.22359146,48.179266742,1,#66c2a5,bicycle
9,1,82,123,2018,1,19,6,3,4,6,2,0,1,0,0,0,0,0,717214.8901,5298425.9397,11.90096917,47.802510472,2,#fc8d62,car
9,1,86,152,2018,1,13,4,3,2,6,0,0,1,0,0,0,0,0,691666.4581,5374785.3667,11.594530871,48.496929596,2,#fc8d62,car
9,1,84,149,2018,1,10,2,3,5,3,0,1,1,0,0,0,0,0,690317.8628,5350760.4652,11.565411287,48.281415468,1,#66c2a5,bicycle
9,1,81,128,2018,1,10,6,3,2,6,0,0,1,0,0,0,0,0,638633.8119,5326728.4336,10.861343184,48.078746397,2,#fc8d62,car
9,1,81,130,2018,1,12,6,3,2,6,0,0,1,0,0,0,0,0,639460434.0,5323077162.0,10.871244811,48.045732857,2,#fc8d62,car
9,7,61,0,2018,1,17,3,3,5,3,1,1,1,0,0,0,0,0,640861.7997,5360468.4682,10.902456153,48.381644708,1,#66c2a5,bicycle
9,1,88,132,2018,1,23,6,2,8,1,2,0,1,0,0,0,0,1,664599.8678,5324259.3985,11.208774175,48.05037486,2,#fc8d62,car
